,,Race,Gender,,,,,,,,,,,,,,,,,,,,
ace of base,1996,w,m,,,,,,,,,,,,,,,,,,,,
ace of base,1998,w,,,,,,,,,,,,,,,,,,,,,
adam ant,1983,,,,,,,,,,,,,,,,,,,,,,
adam clayton and larry mullen,1996,,,,,,,,,,,,,,,,,,,,,,
adam lambert,2010,w,m,,,,,,,,,,,,,,,,,,,,
adele,2011,w,f,,,,,,,,,,,,,,,,,,,,
adele,2011,w,f,,,,,,,,,,,,,,,,,,,,
adele,2012,w,f,,,,,,,,,,,,,,,,,,,,
adele,2012,w,f,,,,,,,,,,,,,,,,,,,,
adele,2012,w,f,,,,,,,,,,,,,,,,,,,,
adele,2012,w,f,,,,,,,,,,,,,,,,,,,,
adele,2015,w,f,,,,,,,,,,,,,,,,,,,,
adina howard,1995,,,,,,,,,,,,,,,,,,,,,,
aerosmith,1976,w,,,,,,,,,,,,,,,,,,,,,
aerosmith,1977,w,,,,,,,,,,,,,,,,,,,,,
aerosmith,1988,,,,,,,,,,,,,,,,,,,,,,
aerosmith,1989,,,,,,,,,,,,,,,,,,,,,,
aerosmith,1990,w,,,,,,,,,,,,,,,,,,,,,
aerosmith,1990,,,,,,,,,,,,,,,,,,,,,,
aerosmith,1993,w,m,,,,,,,,,,,,,,,,,,,,
aerosmith,1993,,,,,,,,,,,,,,,,,,,,,,
aerosmith,1994,w,m,,,,,,,,,,,,,,,,,,,,
aerosmith,1994,w,m,,,,,,,,,,,,,,,,,,,,
aerosmith,1998,w,m,,,,,,,,,,,,,,,,,,,,
aerosmith,2001,w,m,,,,,,,,,,,,,,,,,,,,
after 7,1990,,,,,,,,,,,,,,,,,,,,,,
after 7,1990,,,,,,,,,,,,,,,,,,,,,,
after 7,1995,,,,,,,,,,,,,,,,,,,,,,
after the fire,1983,,,,,,,,,,,,,,,,,,,,,,
aha,1985,,,,,,,,,,,,,,,,,,,,,,
ahmad,1994,,,,,,,,,,,,,,,,,,,,,,
air supply,1980,,,,,,,,,,,,,,,,,,,,,,
air supply,1980,,,,,,,,,,,,,,,,,,,,,,
air supply,1981,,,,,,,,,,,,,,,,,,,,,,
air supply,1981,,,,,,,,,,,,,,,,,,,,,,
air supply,1982,,,,,,,,,,,,,,,,,,,,,,
air supply,1982,,,,,,,,,,,,,,,,,,,,,,
air supply,1982,,,,,,,,,,,,,,,,,,,,,,
air supply,1983,,,,,,,,,,,,,,,,,,,,,,
akon,2005,nw,m,,,,,,,,,,,,,,,,,,,,
akon,2007,nw,m,,,,,,,,,,,,,,,,,,,,
akon,2009,nw,m,,,,,,,,,,,,,,,,,,,,
